cell	UMAP1	UMAP2	PatientID	condition	fib_state	neut_state	pseudotime
"SAM24406426_128188"	4.146994862735	-4.93179404763993	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.4074345420653
"SAM24406426_194139"	4.20543626326296	-4.89957416086014	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.3900771281073
"SAM24406426_100909"	3.91038135069582	-4.7563689949971	"P007"	"Uninflamed UC"	"Inflammatory fibroblast"	NA	16.2055424613333
"SAM24406426_85154"	4.10466006773683	-4.91139638452347	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.3900771281073
"SAM24406426_82447"	4.04174569624635	-5.17246854333695	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.6419951568414
"SAM24406426_365659"	4.10773185270998	-4.98139846353348	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.4550331427459
"SAM24406426_414070"	4.22693446654054	-4.88020074395951	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.3757410121537
"SAM24406426_815237"	4.10661462324831	-4.99726665048417	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.4708265065296
"SAM24406426_8338"	4.22904256361696	-4.95732438592728	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.436997824255
"SAM24406426_540929"	4.08440831679079	-4.60889136819657	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.0975623378952
"SAM24406426_536200"	3.97657636183473	-5.35994088678177	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8326639568604
"SAM24406426_196367"	4.09271744269106	-5.07961165933426	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.5485743435344
"SAM24406426_727290"	4.20526126402589	-4.25759351281937	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	15.8286482040133
"SAM24406426_677475"	4.13922551649782	-4.79360187082108	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.2787847165689
"SAM24406426_45915"	3.95244840162965	-5.22418296365555	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6975533485348
"SAM24406426_774397"	3.97737768667909	-4.79411828546341	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.258912068391
"SAM24406426_711103"	3.99634364622804	-5.03032815484818	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.4983850787961
"SAM24406426_856156"	3.90016630667421	-5.05324733285721	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5165119133418
"SAM24406426_474251"	4.08492783087465	-5.14565646676835	"P007"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.6147020925895
"SAM24406426_128857"	4.11228683966371	-5.04774367837723	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5215225435311
"SAM24406426_93344"	3.90609529989931	-5.05108726053055	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5146481893383
"SAM24406426_824135"	3.85658815878603	-5.0443614724141	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.505478289758
"SAM24406426_367193"	3.92874268072817	-5.21953046350296	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6940758780697
"SAM24406426_308638"	4.02165010946962	-5.41982924966629	"P007"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8894533373162
